100	water park;customer service;cotton candy;rustlers rooste;go back;very nice;first time;front desk;very good;check out;pretty good;arizona grand;prime rib;come back;lazy river;not sure;fry bread;next time;frys electronics;great place;
105	root beer;glass bottles;glass bottle;flavored milks;heavy cream;egg nog;arizona orange;fresh milk;just like;chocolate milk;comes from;local dairy;danzeisen dairy;farmers market;like milk;so good;real milk;milk taste;flavors like;dairy itself;
113	carne asada;drive thru;asada fries;mexican food;carne asada fries;breakfast burrito;pretty good;customer service;sour cream;breakfast burritos;rolled tacos;looks like;super nachos;feel like;just didnt;5 stars;drive through;fast food;ive read;gone up;
114	mexican food;south phoenix;dr yocham;pollo fundido;customer service;very good;first time;authentic mexican;ranch market;every time;can get;highly recommend;so good;take out;go back;authentic mexican food;feel like;so much;years ago;know what;
115	grilled chicken;whole chicken;rice beans;grilled over;pinto beans;beans tortillas;awesome sauce;side salad;rice beans tortillas;full chicken;doing low carb so;also pack;1490 yupon;carb so;authentic good people too;other sides;salsa all;into these;bright yellow;tiny bright;
116	customer service;mid k;not even;beauty supply;your manager;away from;new china;please cashier;supply stores;never really;use your;actually help;best customer;new library;cashier no;could not;mexican pastries;south mountain;much else;best customer service;
117	home depot;customer service;plant stand;arizona environmental;environmental progress;arizona environmental progress;christmas tree;sales pitch;water softener;soft water;your water;every year;no one;know what;sales tactics;great selection;your child;brand new;water from;cant wait;
118	morning glory;south mountain;glory cafe;morning glory cafe;picnic tables;great place;french toast;farm kitchen;outdoor seating;first time;mothers day;feel like;pecan trees;very good;walk around;go back;check out;come back;pecan grove;monte cristo;
119	egg roll;fried rice;egg drop;drop soup;china restaurant;egg drop soup;so much;good food;awakening seed;house chicken;cant beat;much sauce;lemon chicken;lunch specials;chicken wings;very good;death certificate;loved one;take home;these items;
120	arizona mills;customer service;food court;az mills;first time;go back;mills mall;outlet mall;come back;so much;too much;can get;ended up;fried rice;every time;great place;years ago;chinese food;know what;not sure;
13	golf course;tee time;club west;south mountain;can play;par 3;good shape;great course;pretty good;beautiful course;tee boxes;no one;17th hole;very good;away from;stay away from;course many;stay away;courses which;course layout;
132	from work;got home from work;belongings out;work finally;wasnt allowed;up accommodating;wasnt terrible;like 10 minutes;from work finally;wasnt pleasant;he needed;got done;little annoying;got home;got done what;customer service;got off;got home from;line forever;get done;
133	these guys;affordable german;german auto;affordable german auto;your car;these features;knows what;great job;air conditioning;features benefits;he knows;these features benefits;see how;anywhere else;harolds sons transmissions;so he;harolds sons;thanks guys;customer service;no one;
134	lyons roofing;pizza hut;order from;customer service;las glorias;shrimp cocktail;first time;not even;came out;bone yard;could not;2 ridges;every time;rude rude;roofing company;south phoenix;from them;project manager;10 minutes;he said;
135	fried rice;chicken wings;chinese food;so much;customer service;check engine;car wash;3 washes;ive only;engine light came;authentic chinese food;local deal;guy told;fast food;good job;give them;know what;then says;authentic chinese;go back;
