phoenix_complete_feature.avgstar,phoenix_complete_feature.gtfs1,phoenix_complete_feature.gtfs2,phoenix_complete_feature.gtfs3,phoenix_complete_feature.gtfs4,phoenix_complete_feature.gtfs5,phoenix_complete_feature.gtfs6,phoenix_complete_feature.gtfs7,phoenix_complete_feature.gtfs8,phoenix_complete_feature.gtfs9,phoenix_complete_feature.location,phoenix_complete_feature.business_count,phoenix_complete_feature.reviewcount,phoenix_complete_feature.five_star_count,phoenix_complete_feature.four_star_count,phoenix_complete_feature.three_star_count,phoenix_complete_feature.two_star_count,phoenix_complete_feature.one_star_count,phoenix_complete_feature.senti_neg_avg,phoenix_complete_feature.senti_pos_avg,phoenix_complete_feature.senti_neu_avg,phoenix_complete_feature.senti_comp_avg,phoenix_complete_feature.senti_compound_pos_count,phoenix_complete_feature.senti_compound_neg_count,phoenix_complete_feature.senti_compound_neu_count,phoenix_complete_feature.tweet_count,phoenix_complete_feature.senti_negative_avg,phoenix_complete_feature.senti_neutral_avg,phoenix_complete_feature.senti_positive_avg,phoenix_complete_feature.senti_compound_avg,phoenix_complete_feature.senti_compound_positive_count,phoenix_complete_feature.senti_compound_negative_count,phoenix_complete_feature.senti_compound_neutral_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.037666666,0.7866666714,0.17566667,0.2908666631,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.7936666608,0.2063333293,0.4738333424,2,0,1
4.0855954589,0,0,0,0,0,0,0,0,0,38,8,88965,269,88,26,36,36,0.0264725275,0.2531934066,0.7203538462,0.8163138462,430,22,3,11,0.0129090913,0.9559090896,0.0311818191,0.0426909111,2,1,8
3.4710546745,0,0,0,0,0,0,0,0,0,39,39,27051,221,148,74,46,126,0.0493869919,0.1916829268,0.7589300813,0.5680790244,495,109,11,46,0.0192608696,0.846673913,0.1340434784,0.2623521726,26,3,17
3.3021031483,0,0,0,0,0,0,0,0,0,40,77,271260,786,603,377,331,473,0.0499470817,0.1918459144,0.7582015564,0.579861323,2096,447,27,113,0.0310619471,0.8674601783,0.1014778761,0.1304840711,55,17,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.84799999,0.1519999951,0.3612000048,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.0122727274,0.9225000008,0.0652499996,0.1198409088,12,1,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.9946236559,0,0,0,0,0,0,0,0,0,58,2,558,24,0,0,0,1,0.04244,0.19724,0.76036,0.561424,19,4,2,2,0,0.7420000136,0.2580000013,0.6613000035,2,0,0
3.8423857655,0,0,0,0,0,0,0,0,0,59,21,83403,359,209,76,74,82,0.03822125,0.23003375,0.73175125,0.691204125,702,92,6,46,0.053521739,0.8081739137,0.1382826074,0.2176652165,23,6,17
3.9136661282,0,0,0,0,0,0,0,0,0,60,15,57573,317,105,31,43,88,0.0403784247,0.2158732877,0.7437328767,0.6808561644,506,78,0,45,0.0467999995,0.8606222219,0.0926000006,0.072344447,18,9,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4830000103,0.5170000196,0.9150999784,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7820000052,0.2179999948,0.5993999839,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,73,1,3648,48,4,1,1,3,0.0286666667,0.2303333333,0.7410526316,0.8840210526,55,2,0,1,0,1,0,0,0,0,1
4.5,0,0,0,0,0,0,0,0,0,74,2,34259,117,73,14,7,3,0.0333037383,0.2039345794,0.7627663551,0.8033514019,204,8,2,4,0,0.8867499977,0.1132500023,0.3154499978,2,0,2
3.7395715896,0,0,0,0,0,0,0,0,0,75,2,1774,12,26,7,3,5,0.0485283019,0.1725660377,0.7788867925,0.6325415094,46,7,0,5,0.0287999988,0.7263999939,0.2448000014,0.4648599893,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9981367596,0,0,0,0,0,0,0,0,0,79,12,349928,330,282,109,50,48,0.040991453,0.215967033,0.743032967,0.6997031746,725,82,12,8,0,0.9086250067,0.0913750008,0.1733124973,3,0,5
3.4281383765,0,0,0,0,0,0,0,0,0,80,29,131294,358,209,131,103,193,0.0567444668,0.1789557344,0.7642987928,0.5061317907,770,214,10,32,0.0244375006,0.854375001,0.1211875007,0.1480281223,13,3,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.61328125,0,0,0,0,0,0,0,0,0,88,2,512,10,8,3,5,4,0.0600666667,0.2186333333,0.7213,0.62116,25,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.832684211,0.167315789,0.3558631545,24,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0690000008,0.7926666737,0.1383333355,0.1336666644,1,1,1
4,0,0,0,0,0,0,0,0,0,91,1,144,3,4,4,1,0,0.04025,0.2298333333,0.72975,0.684425,10,2,0,3,0,0.7620000045,0.2379999955,0.4845999877,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0573333353,0.8676666617,0.074999998,0.0663666626,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0259999993,0.8442500035,0.1297499985,0.2651416641,7,2,3
3.8840070299,0,0,0,0,0,0,0,0,0,94,7,2276,31,29,7,9,14,0.0567555556,0.1967222222,0.7465111111,0.5549922222,72,17,1,17,0.0362352948,0.7735882401,0.1901764703,0.3651411691,12,2,3
