0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	8	12	12	28	31	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	11	46	113	
0	0	0	0	0	0	0	0	0	0	1	1	0	44	0	0	0	2	46	45	
0	0	0	0	0	0	0	1	1	0	0	0	1	4	5	0	0	0	8	32	
1	0	0	0	0	0	0	0	38	3	3	3	12	17	27	6	30	28	36	36	
1	0	0	5	0	3	1	0	6	6	5	6	1	3	63	5	10	30	8	67	
0	0	3	0	0	3	0	0	0	0	5	1	2	8	5	1	70	19	8	37	
3	16	23	1	4	0	43	2	3	195	6	0	9	18	2	4	7	19	15	20	
8	4	9	93	0	4	1	10	5	0	35	5	41	4763	66	15	47	311	33	16	
19	3	45	7	5	16	15	14	27	10	12	38	851	349	234	2009	27	121	23	34	
0	14	0	8	8	40	13	2	3	12	11	30	28	149	34	42	16	34	43	9	
0	6	13	30	19	4	1	3	25	14	9	6	11	100	38	46	30	155	92	50	
0	4	23	15	6	6	1	3	2	5	86	7	65	1588	81	312	470	27	46	74	
3	3	2	341	1	20	18	482	15	10	23	11	11	549	29	16	23	7	5	76	
0	4	36	26	1	0	2	7	3	23	25	28	29	5	10	36	10	0	2	2	
3	4	0	10	17	2	2	22	10	10	10	27	40	268	100	0	12	7	1	1	
0	3	5	12	235	7	11	18	115	37	39	68	11	29	4	8	15	25	48	41	
13	6	188	4	34	23	25	35	2	32	13	96	28	19	18	8	9	21	73	72	
2	1	2	4	40	2	1	38	20	0	7	1	17	9	24	6	7	4	18	4	
3	4	7	3	83	191	51	24	6	16	27	22	24	15	77	12	27	36	11	10	
0	1	10	1	22	2	110	30	10	5	35	378	9	1	22	1	10	17	3	10	
0	1	10	6	28	8	10	3	1	1	6	25	256	14	6	6	42	3	13	142	
1	1	1	1	12	0	0	26	1	7	5	1	4	5	1	2	0	0	1	4	
0	0	77	5	1	1	12	3	2	24	8	78	8	0	0	0	3	0	1	0	
2	0	4	4	1	11	0	0	4	0	1	4	4	0	0	0	0	0	6	2	
5	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0	7	2	
3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	
0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	2	
0	0	0	0	1	0	0	0	2	0	46	16	4	0	0	0	0	0	1	16	
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	
0	0	0	4	0	0	0	0	0	2	3	14	3	1	0	0	0	0	0	14	
0	1	1	0	0	0	0	0	0	19	13	11	3	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	3	27	5	0	2	0	3	1	0	0	0	0	
0	0	3	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
